timestamp,src_ip,bytes,sensor_type,src_ip_num,is_farm_ip,bytes_log,anomaly_score,is_anomaly
2025-12-18 23:37:53.040047,192.168.1.32,280,pesticide,32,1,5.638354669333745,0,1
2025-12-18 21:12:53.041432,192.168.1.27,593,temp,27,1,6.386879319362645,0,1
2025-12-19 09:48:53.041499,192.168.1.46,433,pesticide,46,1,6.073044534100405,0,1
2025-12-19 14:58:53.041531,192.168.1.9,263,pesticide,9,1,5.575949103146316,0,1
2025-12-18 16:47:53.041564,203.0.113.102,15700,humidity,102,0,9.661479683575521,0,1
2025-12-19 00:34:53.041594,192.168.1.24,584,humidity,24,1,6.371611847231857,0,1
2025-12-19 02:52:53.041623,192.168.1.14,375,soil_moisture,14,1,5.929589143389895,0,1
2025-12-19 00:09:53.041649,192.168.1.23,659,soil_moisture,23,1,6.492239835020471,0,1
2025-12-19 05:08:53.041673,192.168.1.6,787,humidity,6,1,6.669498089857879,0,1
2025-12-19 01:38:53.041698,192.168.1.25,514,temp,25,1,6.244166900663736,0,1
2025-12-18 19:51:53.041722,192.168.1.9,246,temp,9,1,5.5093883366279774,0,1
2025-12-19 06:50:53.041747,192.168.1.32,378,humidity,32,1,5.937536205082426,0,1
2025-12-19 05:09:53.041770,192.168.1.15,758,soil_moisture,15,1,6.6320017773956295,0,1
2025-12-18 19:49:53.041794,192.168.1.15,104,soil_moisture,15,1,4.653960350157523,0,1
2025-12-19 10:16:53.041820,192.168.1.14,475,soil_moisture,14,1,6.16541785423142,0,1
2025-12-19 03:49:53.041844,192.168.1.28,440,humidity,28,1,6.089044875446846,0,1
2025-12-19 10:39:53.041866,192.168.1.14,659,temp,14,1,6.492239835020471,0,1
2025-12-19 14:06:53.041888,192.168.1.28,439,soil_moisture,28,1,6.0867747269123065,0,1
2025-12-19 11:05:53.041912,192.168.1.44,433,temp,44,1,6.073044534100405,0,1
2025-12-19 12:51:53.041935,192.168.1.4,450,humidity,4,1,6.111467339502679,0,1
